UserID,디스플레이,상태,자세,방향,개수
001,Laptop,rgb,D,C,96
001,Laptop,rgb,D,D,93
001,Laptop,rgb,D,E,88
001,Laptop,rgb,D,F,96
001,Laptop,rgb,D,T,112
001,Laptop,rgb,D,U,94
001,Monitor,rgb,D,C,88
001,Monitor,rgb,D,D,91
001,Monitor,rgb,D,E,72
001,Monitor,rgb,D,S,91
001,Monitor,rgb,D,U,83
002,Laptop,rgb,D,C,108
002,Laptop,rgb,D,D,98
002,Laptop,rgb,D,E,106
002,Laptop,rgb,D,F,102
002,Laptop,rgb,D,T,88
002,Laptop,rgb,D,U,91
002,Monitor,rgb,D,C,95
002,Monitor,rgb,D,D,78
002,Monitor,rgb,D,E,84
002,Monitor,rgb,D,S,98
002,Monitor,rgb,D,U,100
003,Laptop,rgb,D,C,93
003,Laptop,rgb,D,D,95
003,Laptop,rgb,D,E,82
003,Laptop,rgb,D,F,95
003,Laptop,rgb,D,S,102
003,Laptop,rgb,D,U,47
003,Monitor,rgb,D,C,79
003,Monitor,rgb,D,D,89
003,Monitor,rgb,D,E,105
003,Monitor,rgb,D,S,72
003,Monitor,rgb,D,U,96
004,Laptop,rgb,D,C,89
004,Laptop,rgb,D,D,102
004,Laptop,rgb,D,E,94
004,Laptop,rgb,D,L,90
004,Laptop,rgb,D,S,60
004,Laptop,rgb,D,U,77
004,Monitor,rgb,D,C,88
004,Monitor,rgb,D,D,91
004,Monitor,rgb,D,E,87
004,Monitor,rgb,D,S,100
004,Monitor,rgb,D,U,54
005,Laptop,rgb,D,C,97
005,Laptop,rgb,D,D,92
005,Laptop,rgb,D,E,81
005,Laptop,rgb,D,F,90
005,Laptop,rgb,D,T,87
005,Laptop,rgb,D,U,63
005,Monitor,rgb,D,C,97
005,Monitor,rgb,D,D,73
005,Monitor,rgb,D,E,97
005,Monitor,rgb,D,S,102
005,Monitor,rgb,D,U,84
006,Laptop,rgb,D,C,100
006,Laptop,rgb,D,D,94
006,Laptop,rgb,D,E,98
006,Laptop,rgb,D,F,97
006,Laptop,rgb,D,T,110
006,Laptop,rgb,D,U,32
006,Monitor,rgb,D,C,105
006,Monitor,rgb,D,D,84
006,Monitor,rgb,D,E,85
006,Monitor,rgb,D,S,86
006,Monitor,rgb,D,U,75
007,Laptop,rgb,D,C,97
007,Laptop,rgb,D,D,93
007,Laptop,rgb,D,E,105
007,Laptop,rgb,D,F,104
007,Laptop,rgb,D,T,110
007,Laptop,rgb,D,U,92
007,Monitor,rgb,D,C,88
007,Monitor,rgb,D,D,83
007,Monitor,rgb,D,E,77
007,Monitor,rgb,D,S,85
007,Monitor,rgb,D,U,62
008,Laptop,rgb,D,C,38
008,Laptop,rgb,D,D,8
008,Laptop,rgb,D,F,85
008,Laptop,rgb,D,T,56
008,Laptop,rgb,D,E,14
008,Monitor,rgb,D,C,89
008,Monitor,rgb,D,D,78
008,Monitor,rgb,D,E,80
008,Monitor,rgb,D,S,84
008,Monitor,rgb,D,U,66
009,Laptop,rgb,D,C,89
009,Laptop,rgb,D,D,98
009,Laptop,rgb,D,E,94
009,Laptop,rgb,D,F,100
009,Laptop,rgb,D,T,108
009,Laptop,rgb,D,U,98
009,Monitor,rgb,D,C,78
009,Monitor,rgb,D,D,91
009,Monitor,rgb,D,E,102
009,Monitor,rgb,D,S,100
009,Monitor,rgb,D,U,80
010,Laptop,rgb,D,C,99
010,Laptop,rgb,D,D,100
010,Laptop,rgb,D,E,97
010,Laptop,rgb,D,F,87
010,Laptop,rgb,D,T,100
010,Laptop,rgb,D,U,91
010,Monitor,rgb,D,C,82
010,Monitor,rgb,D,D,85
010,Monitor,rgb,D,E,90
010,Monitor,rgb,D,S,92
010,Monitor,rgb,D,U,86
011,Laptop,rgb,D,C,92
011,Laptop,rgb,D,D,92
011,Laptop,rgb,D,E,84
011,Laptop,rgb,D,F,80
011,Laptop,rgb,D,U,87
011,Monitor,rgb,D,C,68
011,Monitor,rgb,D,D,75
011,Monitor,rgb,D,E,78
011,Monitor,rgb,D,S,88
011,Monitor,rgb,D,U,79
012,Laptop,rgb,D,C,80
012,Laptop,rgb,D,D,75
012,Laptop,rgb,D,E,84
012,Laptop,rgb,D,F,69
012,Laptop,rgb,D,U,83
012,Monitor,rgb,D,C,85
012,Monitor,rgb,D,D,64
012,Monitor,rgb,D,E,78
012,Monitor,rgb,D,S,85
012,Monitor,rgb,D,U,81
013,Laptop,rgb,D,C,95
013,Laptop,rgb,D,D,91
013,Laptop,rgb,D,E,89
013,Laptop,rgb,D,F,95
013,Laptop,rgb,D,T,95
013,Laptop,rgb,D,U,91
013,Monitor,rgb,D,D,81
013,Monitor,rgb,D,E,70
013,Monitor,rgb,D,S,88
013,Monitor,rgb,D,U,63
013,Monitor,rgb,D,C,53
014,Laptop,rgb,D,F,96
014,Laptop,rgb,D,T,8
014,Monitor,rgb,D,C,79
014,Monitor,rgb,D,D,68
014,Monitor,rgb,D,E,58
014,Monitor,rgb,D,S,73
014,Monitor,rgb,D,U,74
015,Laptop,rgb,D,F,87
015,Monitor,rgb,D,C,74
015,Monitor,rgb,D,E,76
015,Monitor,rgb,D,U,20
016,Laptop,rgb,D,C,90
016,Laptop,rgb,D,D,98
016,Laptop,rgb,D,E,78
016,Laptop,rgb,D,F,70
016,Laptop,rgb,D,T,87
016,Laptop,rgb,D,U,98
016,Monitor,rgb,D,C,75
016,Monitor,rgb,D,D,83
016,Monitor,rgb,D,E,79
016,Monitor,rgb,D,S,80
016,Monitor,rgb,D,U,78
017,Laptop,rgb,D,C,71
017,Laptop,rgb,D,D,58
017,Laptop,rgb,D,E,70
017,Laptop,rgb,D,F,80
017,Laptop,rgb,D,T,66
017,Laptop,rgb,D,U,58
017,Monitor,rgb,D,C,75
017,Monitor,rgb,D,D,82
017,Monitor,rgb,D,E,79
017,Monitor,rgb,D,S,71
017,Monitor,rgb,D,U,83
018,Laptop,rgb,D,C,90
018,Laptop,rgb,D,D,99
018,Laptop,rgb,D,E,78
018,Laptop,rgb,D,F,82
018,Laptop,rgb,D,T,95
018,Laptop,rgb,D,U,95
018,Monitor,rgb,D,C,75
018,Monitor,rgb,D,D,80
018,Monitor,rgb,D,E,71
018,Monitor,rgb,D,S,80
018,Monitor,rgb,D,U,89
019,Laptop,rgb,D,C,85
019,Laptop,rgb,D,D,100
019,Laptop,rgb,D,E,68
019,Laptop,rgb,D,F,79
019,Laptop,rgb,D,T,87
019,Laptop,rgb,D,U,46
019,Monitor,rgb,D,C,79
019,Monitor,rgb,D,D,67
019,Monitor,rgb,D,E,84
019,Monitor,rgb,D,S,77
019,Monitor,rgb,D,U,88
020,Laptop,rgb,D,C,85
020,Laptop,rgb,D,D,85
020,Laptop,rgb,D,E,72
020,Laptop,rgb,D,F,84
020,Laptop,rgb,D,T,85
020,Laptop,rgb,D,U,80
020,Monitor,rgb,D,C,54
020,Monitor,rgb,D,D,76
020,Monitor,rgb,D,E,78
020,Monitor,rgb,D,S,93
020,Monitor,rgb,D,U,81
021,Laptop,rgb,D,C,93
021,Laptop,rgb,D,D,89
021,Laptop,rgb,D,E,99
021,Laptop,rgb,D,F,93
021,Laptop,rgb,D,T,115
021,Laptop,rgb,D,U,85
021,Monitor,rgb,D,C,79
021,Monitor,rgb,D,D,71
021,Monitor,rgb,D,E,85
021,Monitor,rgb,D,S,69
021,Monitor,rgb,D,U,70
022,Laptop,rgb,D,C,83
022,Laptop,rgb,D,D,88
022,Laptop,rgb,D,E,76
022,Laptop,rgb,D,F,73
022,Laptop,rgb,D,T,88
022,Laptop,rgb,D,U,92
022,Monitor,rgb,D,C,78
022,Monitor,rgb,D,D,74
022,Monitor,rgb,D,E,75
022,Monitor,rgb,D,S,76
022,Monitor,rgb,D,U,92
023,Laptop,rgb,D,D,48
023,Laptop,rgb,D,E,51
023,Laptop,rgb,D,F,84
023,Laptop,rgb,D,T,42
023,Laptop,rgb,D,U,21
023,Monitor,rgb,D,C,93
023,Monitor,rgb,D,D,77
023,Monitor,rgb,D,E,41
023,Monitor,rgb,D,S,76
023,Monitor,rgb,D,U,58
024,Laptop,rgb,D,C,43
024,Laptop,rgb,D,F,84
024,Laptop,rgb,D,D,23
024,Monitor,rgb,D,C,76
024,Monitor,rgb,D,D,77
024,Monitor,rgb,D,E,94
024,Monitor,rgb,D,S,69
024,Monitor,rgb,D,U,75
025,Laptop,rgb,D,C,30
025,Laptop,rgb,D,D,48
025,Laptop,rgb,D,F,83
025,Laptop,rgb,D,T,59
025,Laptop,rgb,D,U,22
025,Monitor,rgb,D,C,84
025,Monitor,rgb,D,D,80
025,Monitor,rgb,D,E,78
025,Monitor,rgb,D,S,66
025,Monitor,rgb,D,U,83
026,Laptop,rgb,D,C,94
026,Laptop,rgb,D,D,89
026,Laptop,rgb,D,E,86
026,Laptop,rgb,D,F,98
026,Laptop,rgb,D,T,81
026,Laptop,rgb,D,U,84
026,Monitor,rgb,D,C,77
026,Monitor,rgb,D,D,96
026,Monitor,rgb,D,E,78
026,Monitor,rgb,D,S,74
026,Monitor,rgb,D,U,83
027,Laptop,rgb,D,C,64
027,Laptop,rgb,D,D,57
027,Laptop,rgb,D,E,33
027,Laptop,rgb,D,F,87
027,Laptop,rgb,D,T,58
027,Laptop,rgb,D,U,68
027,Monitor,rgb,D,C,66
027,Monitor,rgb,D,D,46
027,Monitor,rgb,D,E,41
027,Monitor,rgb,D,S,63
027,Monitor,rgb,D,U,68
028,Laptop,rgb,D,C,69
028,Laptop,rgb,D,D,94
028,Laptop,rgb,D,E,103
028,Laptop,rgb,D,F,105
028,Laptop,rgb,D,T,79
028,Laptop,rgb,D,U,99
028,Monitor,rgb,D,C,80
028,Monitor,rgb,D,D,73
028,Monitor,rgb,D,E,82
028,Monitor,rgb,D,S,77
028,Monitor,rgb,D,U,91
029,Laptop,rgb,D,C,83
029,Laptop,rgb,D,D,93
029,Laptop,rgb,D,E,94
029,Laptop,rgb,D,F,100
029,Laptop,rgb,D,T,85
029,Laptop,rgb,D,U,94
029,Monitor,rgb,D,C,79
029,Monitor,rgb,D,D,82
029,Monitor,rgb,D,E,81
029,Monitor,rgb,D,S,84
029,Monitor,rgb,D,U,65
030,Laptop,rgb,D,C,88
030,Laptop,rgb,D,D,69
030,Laptop,rgb,D,E,86
030,Laptop,rgb,D,F,93
030,Laptop,rgb,D,T,85
030,Laptop,rgb,D,U,83
030,Monitor,rgb,D,C,70
030,Monitor,rgb,D,D,76
030,Monitor,rgb,D,E,65
030,Monitor,rgb,D,S,77
030,Monitor,rgb,D,U,68
031,Laptop,rgb,D,C,99
031,Laptop,rgb,D,D,101
031,Laptop,rgb,D,E,92
031,Laptop,rgb,D,F,96
031,Laptop,rgb,D,T,93
031,Laptop,rgb,D,U,81
031,Monitor,rgb,D,C,70
031,Monitor,rgb,D,D,82
031,Monitor,rgb,D,E,80
031,Monitor,rgb,D,S,71
031,Monitor,rgb,D,U,71
032,Laptop,rgb,D,C,106
032,Laptop,rgb,D,D,79
032,Laptop,rgb,D,E,90
032,Laptop,rgb,D,F,99
032,Laptop,rgb,D,T,95
032,Laptop,rgb,D,U,92
032,Monitor,rgb,D,C,83
032,Monitor,rgb,D,D,73
032,Monitor,rgb,D,E,86
032,Monitor,rgb,D,S,87
032,Monitor,rgb,D,U,85
033,Laptop,rgb,D,C,82
033,Laptop,rgb,D,D,84
033,Laptop,rgb,D,E,93
033,Laptop,rgb,D,F,96
033,Laptop,rgb,D,T,101
033,Laptop,rgb,D,U,86
033,Monitor,rgb,D,C,71
033,Monitor,rgb,D,D,79
033,Monitor,rgb,D,E,81
033,Monitor,rgb,D,U,72
033,Monitor,rgb,D,S,9
034,Laptop,rgb,D,C,74
034,Laptop,rgb,D,D,84
034,Laptop,rgb,D,E,79
034,Laptop,rgb,D,F,90
034,Laptop,rgb,D,T,87
034,Laptop,rgb,D,U,86
034,Monitor,rgb,D,C,74
034,Monitor,rgb,D,D,68
034,Monitor,rgb,D,E,68
034,Monitor,rgb,D,S,76
034,Monitor,rgb,D,U,77
035,Laptop,rgb,D,C,82
035,Laptop,rgb,D,D,93
035,Laptop,rgb,D,E,84
035,Laptop,rgb,D,F,100
035,Laptop,rgb,D,T,87
035,Laptop,rgb,D,U,98
035,Monitor,rgb,D,C,84
035,Monitor,rgb,D,D,85
035,Monitor,rgb,D,E,62
035,Monitor,rgb,D,S,88
035,Monitor,rgb,D,U,86
036,Laptop,rgb,D,C,82
036,Laptop,rgb,D,D,84
036,Laptop,rgb,D,E,91
036,Laptop,rgb,D,F,89
036,Laptop,rgb,D,T,88
036,Laptop,rgb,D,U,93
036,Monitor,rgb,D,C,84
036,Monitor,rgb,D,D,61
036,Monitor,rgb,D,E,87
036,Monitor,rgb,D,S,79
036,Monitor,rgb,D,U,81
037,Laptop,rgb,D,C,82
037,Laptop,rgb,D,D,89
037,Laptop,rgb,D,E,86
037,Laptop,rgb,D,F,96
037,Laptop,rgb,D,T,80
037,Laptop,rgb,D,U,77
037,Monitor,rgb,D,C,67
037,Monitor,rgb,D,D,60
037,Monitor,rgb,D,E,82
037,Monitor,rgb,D,S,67
037,Monitor,rgb,D,U,63
038,Laptop,rgb,D,C,89
038,Laptop,rgb,D,D,78
038,Laptop,rgb,D,E,79
038,Laptop,rgb,D,F,70
038,Laptop,rgb,D,T,66
038,Laptop,rgb,D,U,52
038,Monitor,rgb,D,C,59
038,Monitor,rgb,D,D,52
038,Monitor,rgb,D,E,57
038,Monitor,rgb,D,S,53
038,Monitor,rgb,D,U,63
039,Laptop,rgb,D,C,91
039,Laptop,rgb,D,D,102
039,Laptop,rgb,D,E,84
039,Laptop,rgb,D,F,67
039,Laptop,rgb,D,T,79
039,Laptop,rgb,D,U,92
039,Monitor,rgb,D,C,75
039,Monitor,rgb,D,D,75
039,Monitor,rgb,D,E,80
039,Monitor,rgb,D,S,85
039,Monitor,rgb,D,U,83
040,Laptop,rgb,D,C,87
040,Laptop,rgb,D,D,102
040,Laptop,rgb,D,E,95
040,Laptop,rgb,D,F,75
040,Laptop,rgb,D,T,91
040,Laptop,rgb,D,U,99
040,Monitor,rgb,D,C,71
040,Monitor,rgb,D,D,85
040,Monitor,rgb,D,E,82
040,Monitor,rgb,D,S,70
040,Monitor,rgb,D,U,85
041,Laptop,rgb,D,C,98
041,Laptop,rgb,D,D,93
041,Laptop,rgb,D,E,101
041,Laptop,rgb,D,F,85
041,Laptop,rgb,D,T,86
041,Laptop,rgb,D,U,88
041,Monitor,rgb,D,C,74
041,Monitor,rgb,D,D,70
041,Monitor,rgb,D,E,97
041,Monitor,rgb,D,S,74
041,Monitor,rgb,D,U,83
042,Laptop,rgb,D,C,80
042,Laptop,rgb,D,D,95
042,Laptop,rgb,D,E,88
042,Laptop,rgb,D,F,60
042,Laptop,rgb,D,T,81
042,Laptop,rgb,D,U,82
042,Monitor,rgb,D,C,47
042,Monitor,rgb,D,D,53
042,Monitor,rgb,D,E,73
042,Monitor,rgb,D,S,12
042,Monitor,rgb,D,U,41
043,Laptop,rgb,D,C,86
043,Laptop,rgb,D,D,87
043,Laptop,rgb,D,E,75
043,Laptop,rgb,D,F,69
043,Laptop,rgb,D,T,94
043,Laptop,rgb,D,U,87
043,Monitor,rgb,D,C,90
043,Monitor,rgb,D,D,75
043,Monitor,rgb,D,E,72
043,Monitor,rgb,D,S,72
043,Monitor,rgb,D,U,77
044,Laptop,rgb,D,C,86
044,Laptop,rgb,D,D,81
044,Laptop,rgb,D,E,73
044,Laptop,rgb,D,F,61
044,Laptop,rgb,D,T,78
044,Laptop,rgb,D,U,84
044,Monitor,rgb,D,C,70
044,Monitor,rgb,D,D,63
044,Monitor,rgb,D,E,73
044,Monitor,rgb,D,S,77
044,Monitor,rgb,D,U,82
045,Laptop,rgb,D,C,77
045,Laptop,rgb,D,D,89
045,Laptop,rgb,D,E,87
045,Laptop,rgb,D,F,77
045,Laptop,rgb,D,T,87
045,Laptop,rgb,D,U,105
045,Monitor,rgb,D,C,70
045,Monitor,rgb,D,D,63
045,Monitor,rgb,D,E,84
045,Monitor,rgb,D,S,75
045,Monitor,rgb,D,U,75
046,Laptop,rgb,D,C,75
046,Laptop,rgb,D,D,84
046,Laptop,rgb,D,E,74
046,Laptop,rgb,D,F,84
046,Laptop,rgb,D,T,87
046,Laptop,rgb,D,U,93
046,Monitor,rgb,D,C,85
046,Monitor,rgb,D,D,74
046,Monitor,rgb,D,E,77
046,Monitor,rgb,D,S,73
046,Monitor,rgb,D,U,80
047,Laptop,rgb,D,C,82
047,Laptop,rgb,D,D,77
047,Laptop,rgb,D,E,69
047,Laptop,rgb,D,F,67
047,Laptop,rgb,D,T,69
047,Laptop,rgb,D,U,78
047,Monitor,rgb,D,C,70
047,Monitor,rgb,D,D,75
047,Monitor,rgb,D,E,60
047,Monitor,rgb,D,S,68
047,Monitor,rgb,D,U,72
048,Laptop,rgb,D,C,83
048,Laptop,rgb,D,D,84
048,Laptop,rgb,D,E,77
048,Laptop,rgb,D,F,65
048,Laptop,rgb,D,T,81
048,Laptop,rgb,D,U,79
048,Monitor,rgb,D,C,74
048,Monitor,rgb,D,D,68
048,Monitor,rgb,D,E,68
048,Monitor,rgb,D,S,63
048,Monitor,rgb,D,U,72
049,Laptop,rgb,D,C,73
049,Laptop,rgb,D,D,59
049,Laptop,rgb,D,E,71
049,Laptop,rgb,D,F,55
049,Laptop,rgb,D,T,82
049,Laptop,rgb,D,U,73
049,Monitor,rgb,D,C,49
049,Monitor,rgb,D,D,54
049,Monitor,rgb,D,E,49
049,Monitor,rgb,D,S,59
049,Monitor,rgb,D,U,45
050,Laptop,rgb,D,C,71
050,Laptop,rgb,D,D,80
050,Laptop,rgb,D,E,84
050,Laptop,rgb,D,F,54
050,Laptop,rgb,D,T,85
050,Laptop,rgb,D,U,65
050,Monitor,rgb,D,C,56
050,Monitor,rgb,D,D,62
050,Monitor,rgb,D,E,69
050,Monitor,rgb,D,S,65
050,Monitor,rgb,D,U,71
051,Laptop,rgb,D,C,87
051,Laptop,rgb,D,D,97
051,Laptop,rgb,D,E,86
051,Laptop,rgb,D,F,70
