UserID,디스플레이,상태,자세,방향,개수
051,Laptop,rgb,D,T,76
051,Laptop,rgb,D,U,82
051,Monitor,rgb,D,C,81
051,Monitor,rgb,D,D,86
051,Monitor,rgb,D,E,79
051,Monitor,rgb,D,S,83
051,Monitor,rgb,D,U,86
052,Laptop,rgb,D,C,96
052,Laptop,rgb,D,D,96
052,Laptop,rgb,D,E,97
052,Laptop,rgb,D,F,74
052,Laptop,rgb,D,T,84
052,Laptop,rgb,D,U,75
052,Monitor,rgb,D,C,71
052,Monitor,rgb,D,D,77
052,Monitor,rgb,D,E,71
052,Monitor,rgb,D,S,79
052,Monitor,rgb,D,U,74
053,Laptop,rgb,D,C,88
053,Laptop,rgb,D,D,64
053,Laptop,rgb,D,E,99
053,Laptop,rgb,D,F,59
053,Laptop,rgb,D,T,88
053,Laptop,rgb,D,U,80
053,Monitor,rgb,D,C,85
053,Monitor,rgb,D,D,72
053,Monitor,rgb,D,E,86
053,Monitor,rgb,D,U,69
053,Monitor,rgb,D,S,18
054,Laptop,rgb,D,C,63
054,Laptop,rgb,D,D,94
054,Laptop,rgb,D,E,95
054,Laptop,rgb,D,F,88
054,Laptop,rgb,D,T,78
054,Laptop,rgb,D,U,85
054,Monitor,rgb,D,C,68
054,Monitor,rgb,D,D,73
054,Monitor,rgb,D,E,74
054,Monitor,rgb,D,S,93
054,Monitor,rgb,D,U,80
055,Laptop,rgb,D,C,91
055,Laptop,rgb,D,D,91
055,Laptop,rgb,D,E,103
055,Laptop,rgb,D,F,89
055,Laptop,rgb,D,T,90
055,Laptop,rgb,D,U,99
055,Monitor,rgb,D,D,65
055,Monitor,rgb,D,E,75
055,Monitor,rgb,D,S,79
055,Monitor,rgb,D,U,77
055,Monitor,rgb,D,C,48
056,Laptop,rgb,D,C,93
056,Laptop,rgb,D,D,86
056,Laptop,rgb,D,E,95
056,Laptop,rgb,D,F,76
056,Laptop,rgb,D,T,90
056,Laptop,rgb,D,U,86
056,Monitor,rgb,D,C,61
056,Monitor,rgb,D,E,62
056,Monitor,rgb,D,S,69
056,Monitor,rgb,D,U,68
056,Monitor,rgb,D,D,45
057,Laptop,rgb,D,C,93
057,Laptop,rgb,D,D,90
057,Laptop,rgb,D,E,77
057,Laptop,rgb,D,F,81
057,Laptop,rgb,D,T,93
057,Laptop,rgb,D,U,81
057,Monitor,rgb,D,C,90
057,Monitor,rgb,D,D,83
057,Monitor,rgb,D,E,75
057,Monitor,rgb,D,S,92
057,Monitor,rgb,D,U,92
058,Laptop,rgb,D,C,94
058,Laptop,rgb,D,D,101
058,Laptop,rgb,D,E,76
058,Laptop,rgb,D,F,85
058,Laptop,rgb,D,T,85
058,Laptop,rgb,D,U,88
058,Monitor,rgb,D,C,77
058,Monitor,rgb,D,D,63
058,Monitor,rgb,D,E,73
058,Monitor,rgb,D,S,83
058,Monitor,rgb,D,U,86
059,Laptop,rgb,D,C,95
059,Laptop,rgb,D,D,88
059,Laptop,rgb,D,E,91
059,Laptop,rgb,D,F,100
059,Laptop,rgb,D,T,84
059,Laptop,rgb,D,U,91
059,Monitor,rgb,D,S,54
059,Monitor,rgb,D,U,73
059,Monitor,rgb,D,C,55
059,Monitor,rgb,D,D,49
059,Monitor,rgb,D,E,52
060,Laptop,rgb,D,C,113
060,Laptop,rgb,D,D,89
060,Laptop,rgb,D,E,102
060,Laptop,rgb,D,F,86
060,Laptop,rgb,D,T,87
060,Laptop,rgb,D,U,95
060,Monitor,rgb,D,C,89
060,Monitor,rgb,D,D,80
060,Monitor,rgb,D,E,80
060,Monitor,rgb,D,S,79
060,Monitor,rgb,D,U,74
061,Laptop,rgb,D,C,79
061,Laptop,rgb,D,D,84
061,Laptop,rgb,D,E,92
061,Laptop,rgb,D,F,89
061,Laptop,rgb,D,T,88
061,Laptop,rgb,D,U,81
061,Monitor,rgb,D,C,77
061,Monitor,rgb,D,D,86
061,Monitor,rgb,D,E,67
061,Monitor,rgb,D,S,60
061,Monitor,rgb,D,U,88
062,Laptop,rgb,D,C,97
062,Laptop,rgb,D,D,105
062,Laptop,rgb,D,E,103
062,Laptop,rgb,D,F,82
062,Laptop,rgb,D,T,98
062,Laptop,rgb,D,U,91
062,Monitor,rgb,D,C,71
062,Monitor,rgb,D,D,72
062,Monitor,rgb,D,E,81
062,Monitor,rgb,D,S,80
062,Monitor,rgb,D,U,79
063,Laptop,rgb,D,C,92
063,Laptop,rgb,D,D,93
063,Laptop,rgb,D,E,84
063,Laptop,rgb,D,F,78
063,Laptop,rgb,D,T,91
063,Laptop,rgb,D,U,72
063,Monitor,rgb,D,C,86
063,Monitor,rgb,D,D,103
063,Monitor,rgb,D,E,72
063,Monitor,rgb,D,S,76
063,Monitor,rgb,D,U,70
064,Laptop,rgb,D,C,90
064,Laptop,rgb,D,D,86
064,Laptop,rgb,D,E,85
064,Laptop,rgb,D,F,90
064,Laptop,rgb,D,T,94
064,Laptop,rgb,D,U,83
064,Monitor,rgb,D,C,82
064,Monitor,rgb,D,D,77
064,Monitor,rgb,D,E,76
064,Monitor,rgb,D,S,87
064,Monitor,rgb,D,U,90
065,Laptop,rgb,D,C,95
065,Laptop,rgb,D,D,101
065,Laptop,rgb,D,E,93
065,Laptop,rgb,D,F,86
065,Laptop,rgb,D,T,78
065,Laptop,rgb,D,U,81
065,Monitor,rgb,D,C,83
065,Monitor,rgb,D,D,79
065,Monitor,rgb,D,E,92
065,Monitor,rgb,D,S,81
065,Monitor,rgb,D,U,87
066,Laptop,rgb,D,C,93
066,Laptop,rgb,D,D,90
066,Laptop,rgb,D,E,81
066,Laptop,rgb,D,F,87
066,Laptop,rgb,D,T,83
066,Laptop,rgb,D,U,82
066,Monitor,rgb,D,C,93
066,Monitor,rgb,D,D,59
066,Monitor,rgb,D,E,76
066,Monitor,rgb,D,S,83
066,Monitor,rgb,D,U,76
067,Laptop,rgb,D,C,74
067,Laptop,rgb,D,D,91
067,Laptop,rgb,D,E,91
067,Laptop,rgb,D,F,73
067,Laptop,rgb,D,T,99
067,Laptop,rgb,D,U,90
067,Monitor,rgb,D,C,84
067,Monitor,rgb,D,D,77
067,Monitor,rgb,D,E,90
067,Monitor,rgb,D,S,86
067,Monitor,rgb,D,U,84
068,Laptop,rgb,D,C,80
068,Laptop,rgb,D,D,101
068,Laptop,rgb,D,E,78
068,Laptop,rgb,D,F,73
068,Laptop,rgb,D,T,91
068,Laptop,rgb,D,U,98
068,Monitor,rgb,D,C,86
068,Monitor,rgb,D,D,75
068,Monitor,rgb,D,E,78
068,Monitor,rgb,D,S,77
068,Monitor,rgb,D,U,101
069,Laptop,rgb,D,C,87
069,Laptop,rgb,D,D,101
069,Laptop,rgb,D,E,78
069,Laptop,rgb,D,F,89
069,Laptop,rgb,D,T,84
069,Laptop,rgb,D,U,94
069,Monitor,rgb,D,C,82
069,Monitor,rgb,D,D,72
069,Monitor,rgb,D,E,66
069,Monitor,rgb,D,S,71
069,Monitor,rgb,D,U,79
070,Laptop,rgb,D,C,82
070,Laptop,rgb,D,D,90
070,Laptop,rgb,D,E,84
070,Laptop,rgb,D,F,94
070,Laptop,rgb,D,T,90
070,Laptop,rgb,D,U,96
070,Monitor,rgb,D,C,88
070,Monitor,rgb,D,D,71
070,Monitor,rgb,D,E,82
070,Monitor,rgb,D,S,75
070,Monitor,rgb,D,U,77
071,Laptop,rgb,D,C,54
071,Laptop,rgb,D,D,84
071,Laptop,rgb,D,E,87
071,Laptop,rgb,D,F,92
071,Laptop,rgb,D,T,92
071,Laptop,rgb,D,U,103
071,Monitor,rgb,D,C,67
071,Monitor,rgb,D,D,90
071,Monitor,rgb,D,E,84
071,Monitor,rgb,D,S,81
071,Monitor,rgb,D,U,86
072,Laptop,rgb,D,C,77
072,Laptop,rgb,D,D,64
072,Laptop,rgb,D,E,81
072,Laptop,rgb,D,F,87
072,Laptop,rgb,D,T,83
072,Laptop,rgb,D,U,107
072,Monitor,rgb,D,C,85
072,Monitor,rgb,D,D,72
072,Monitor,rgb,D,E,74
072,Monitor,rgb,D,S,71
072,Monitor,rgb,D,U,69
073,Laptop,rgb,D,C,85
073,Laptop,rgb,D,D,81
073,Laptop,rgb,D,E,94
073,Laptop,rgb,D,F,70
073,Laptop,rgb,D,T,83
073,Laptop,rgb,D,U,83
073,Monitor,rgb,D,C,103
073,Monitor,rgb,D,D,70
073,Monitor,rgb,D,E,82
073,Monitor,rgb,D,S,73
073,Monitor,rgb,D,U,79
074,Laptop,rgb,D,C,84
074,Laptop,rgb,D,D,89
074,Laptop,rgb,D,E,83
074,Laptop,rgb,D,F,81
074,Laptop,rgb,D,T,81
074,Laptop,rgb,D,U,96
074,Monitor,rgb,D,C,76
074,Monitor,rgb,D,D,89
074,Monitor,rgb,D,E,71
074,Monitor,rgb,D,S,70
074,Monitor,rgb,D,U,77
075,Laptop,rgb,D,C,62
075,Laptop,rgb,D,D,90
075,Laptop,rgb,D,E,87
075,Laptop,rgb,D,F,85
075,Laptop,rgb,D,T,86
075,Laptop,rgb,D,U,82
075,Monitor,rgb,D,C,88
075,Monitor,rgb,D,D,64
075,Monitor,rgb,D,E,79
075,Monitor,rgb,D,S,99
075,Monitor,rgb,D,U,86
076,Laptop,rgb,D,C,86
076,Laptop,rgb,D,D,82
076,Laptop,rgb,D,E,86
076,Laptop,rgb,D,F,93
076,Laptop,rgb,D,T,95
076,Laptop,rgb,D,U,93
076,Monitor,rgb,D,C,84
076,Monitor,rgb,D,D,69
076,Monitor,rgb,D,E,71
076,Monitor,rgb,D,S,82
076,Monitor,rgb,D,U,92
077,Laptop,rgb,D,C,78
077,Laptop,rgb,D,D,82
077,Laptop,rgb,D,E,92
077,Laptop,rgb,D,F,81
077,Laptop,rgb,D,T,99
077,Laptop,rgb,D,U,87
077,Monitor,rgb,D,C,81
077,Monitor,rgb,D,D,76
077,Monitor,rgb,D,E,91
077,Monitor,rgb,D,S,88
077,Monitor,rgb,D,U,63
078,Laptop,rgb,D,C,83
078,Laptop,rgb,D,D,100
078,Laptop,rgb,D,E,91
078,Laptop,rgb,D,F,103
078,Laptop,rgb,D,T,82
078,Laptop,rgb,D,U,92
078,Monitor,rgb,D,C,57
078,Monitor,rgb,D,D,64
078,Monitor,rgb,D,E,71
078,Monitor,rgb,D,S,69
078,Monitor,rgb,D,U,55
079,Laptop,rgb,D,C,91
079,Laptop,rgb,D,D,73
079,Laptop,rgb,D,E,95
079,Laptop,rgb,D,F,72
079,Laptop,rgb,D,T,95
079,Laptop,rgb,D,U,84
079,Monitor,rgb,D,C,79
079,Monitor,rgb,D,D,82
079,Monitor,rgb,D,E,71
079,Monitor,rgb,D,S,70
079,Monitor,rgb,D,U,83
080,Laptop,rgb,D,C,75
080,Laptop,rgb,D,D,90
080,Laptop,rgb,D,E,96
080,Laptop,rgb,D,F,91
080,Laptop,rgb,D,T,90
080,Laptop,rgb,D,U,98
080,Monitor,rgb,D,C,85
080,Monitor,rgb,D,D,84
080,Monitor,rgb,D,E,78
080,Monitor,rgb,D,S,81
080,Monitor,rgb,D,U,71
081,Laptop,rgb,D,C,87
081,Laptop,rgb,D,D,97
081,Laptop,rgb,D,E,63
081,Laptop,rgb,D,F,78
081,Laptop,rgb,D,T,80
081,Laptop,rgb,D,U,73
081,Monitor,rgb,D,C,77
081,Monitor,rgb,D,D,62
081,Monitor,rgb,D,E,92
081,Monitor,rgb,D,S,76
081,Monitor,rgb,D,U,74
082,Laptop,rgb,D,C,88
082,Laptop,rgb,D,D,75
082,Laptop,rgb,D,E,93
082,Laptop,rgb,D,F,104
082,Laptop,rgb,D,T,109
082,Laptop,rgb,D,U,86
082,Monitor,rgb,D,C,85
082,Monitor,rgb,D,D,79
082,Monitor,rgb,D,E,80
082,Monitor,rgb,D,U,92
083,Laptop,rgb,D,C,101
083,Laptop,rgb,D,D,89
083,Laptop,rgb,D,E,82
083,Laptop,rgb,D,F,79
083,Laptop,rgb,D,T,81
083,Laptop,rgb,D,U,100
083,Monitor,rgb,D,C,87
083,Monitor,rgb,D,D,89
083,Monitor,rgb,D,E,84
083,Monitor,rgb,D,S,83
083,Monitor,rgb,D,U,79
084,Laptop,rgb,D,C,84
084,Laptop,rgb,D,D,80
084,Laptop,rgb,D,E,92
084,Laptop,rgb,D,F,83
084,Laptop,rgb,D,T,96
084,Laptop,rgb,D,U,95
084,Monitor,rgb,D,C,88
084,Monitor,rgb,D,D,73
084,Monitor,rgb,D,E,68
084,Monitor,rgb,D,S,81
084,Monitor,rgb,D,U,94
085,Laptop,rgb,D,C,89
085,Laptop,rgb,D,D,92
085,Laptop,rgb,D,E,100
085,Laptop,rgb,D,F,91
085,Laptop,rgb,D,T,78
085,Laptop,rgb,D,U,81
085,Monitor,rgb,D,C,93
085,Monitor,rgb,D,D,67
085,Monitor,rgb,D,E,82
085,Monitor,rgb,D,S,86
085,Monitor,rgb,D,U,83
086,Laptop,rgb,D,C,77
086,Laptop,rgb,D,D,78
086,Laptop,rgb,D,E,84
086,Laptop,rgb,D,F,70
086,Laptop,rgb,D,T,75
086,Laptop,rgb,D,U,80
086,Monitor,rgb,D,C,85
086,Monitor,rgb,D,D,89
086,Monitor,rgb,D,E,87
086,Monitor,rgb,D,S,83
086,Monitor,rgb,D,U,99
087,Laptop,rgb,D,C,100
087,Laptop,rgb,D,D,99
087,Laptop,rgb,D,E,82
087,Laptop,rgb,D,F,82
087,Laptop,rgb,D,T,90
087,Laptop,rgb,D,U,95
087,Monitor,rgb,D,C,75
087,Monitor,rgb,D,D,82
087,Monitor,rgb,D,E,89
087,Monitor,rgb,D,S,87
087,Monitor,rgb,D,U,74
088,Laptop,rgb,D,C,94
088,Laptop,rgb,D,D,77
088,Laptop,rgb,D,E,98
088,Laptop,rgb,D,F,85
088,Laptop,rgb,D,T,90
088,Laptop,rgb,D,U,94
088,Monitor,rgb,D,C,73
088,Monitor,rgb,D,D,84
088,Monitor,rgb,D,E,69
088,Monitor,rgb,D,S,66
088,Monitor,rgb,D,U,75
089,Laptop,rgb,D,C,90
089,Laptop,rgb,D,D,96
089,Laptop,rgb,D,E,87
089,Laptop,rgb,D,F,106
089,Laptop,rgb,D,T,92
089,Laptop,rgb,D,U,100
089,Monitor,rgb,D,C,81
089,Monitor,rgb,D,D,79
089,Monitor,rgb,D,E,74
089,Monitor,rgb,D,S,82
089,Monitor,rgb,D,U,91
090,Laptop,rgb,D,C,91
090,Laptop,rgb,D,D,90
090,Laptop,rgb,D,E,86
090,Laptop,rgb,D,F,102
090,Laptop,rgb,D,T,98
090,Laptop,rgb,D,U,61
090,Monitor,rgb,D,C,56
090,Monitor,rgb,D,D,77
090,Monitor,rgb,D,E,69
090,Monitor,rgb,D,S,74
090,Monitor,rgb,D,U,77
090,Monitor,rgb,D,T,32
091,Laptop,rgb,D,C,80
091,Laptop,rgb,D,D,92
091,Laptop,rgb,D,E,93
091,Laptop,rgb,D,F,89
091,Laptop,rgb,D,T,102
091,Laptop,rgb,D,U,83
091,Monitor,rgb,D,C,78
091,Monitor,rgb,D,D,73
091,Monitor,rgb,D,E,79
091,Monitor,rgb,D,S,60
091,Monitor,rgb,D,U,73
092,Laptop,rgb,D,C,91
092,Laptop,rgb,D,D,93
092,Laptop,rgb,D,E,79
092,Laptop,rgb,D,F,85
092,Laptop,rgb,D,T,88
092,Laptop,rgb,D,U,102
092,Monitor,rgb,D,C,82
092,Monitor,rgb,D,D,75
092,Monitor,rgb,D,E,93
092,Monitor,rgb,D,S,90
092,Monitor,rgb,D,U,73
093,Laptop,rgb,D,C,87
093,Laptop,rgb,D,D,98
093,Laptop,rgb,D,E,99
093,Laptop,rgb,D,F,91
093,Laptop,rgb,D,T,102
093,Laptop,rgb,D,U,88
093,Monitor,rgb,D,C,74
093,Monitor,rgb,D,D,81
093,Monitor,rgb,D,E,67
093,Monitor,rgb,D,S,56
093,Monitor,rgb,D,U,82
094,Laptop,rgb,D,C,95
094,Laptop,rgb,D,D,106
094,Laptop,rgb,D,E,98
094,Laptop,rgb,D,F,94
094,Laptop,rgb,D,T,87
094,Laptop,rgb,D,U,70
094,Monitor,rgb,D,C,95
094,Monitor,rgb,D,D,70
094,Monitor,rgb,D,E,85
094,Monitor,rgb,D,S,70
094,Monitor,rgb,D,U,71
095,Laptop,rgb,D,C,88
095,Laptop,rgb,D,D,91
095,Laptop,rgb,D,E,105
095,Laptop,rgb,D,F,79
095,Laptop,rgb,D,T,88
095,Laptop,rgb,D,U,88
095,Monitor,rgb,D,C,90
095,Monitor,rgb,D,D,74
095,Monitor,rgb,D,E,78
095,Monitor,rgb,D,S,83
095,Monitor,rgb,D,U,97
096,Laptop,rgb,D,C,87
096,Laptop,rgb,D,D,75
096,Laptop,rgb,D,E,103
096,Laptop,rgb,D,F,96
096,Laptop,rgb,D,T,84
096,Laptop,rgb,D,U,90
096,Monitor,rgb,D,C,62
096,Monitor,rgb,D,D,82
096,Monitor,rgb,D,E,78
096,Monitor,rgb,D,S,84
096,Monitor,rgb,D,U,72
097,Laptop,rgb,D,C,86
097,Laptop,rgb,D,D,91
097,Laptop,rgb,D,E,97
097,Laptop,rgb,D,F,85
097,Laptop,rgb,D,T,105
097,Laptop,rgb,D,U,93
097,Monitor,rgb,D,C,79
097,Monitor,rgb,D,D,73
097,Monitor,rgb,D,E,73
097,Monitor,rgb,D,S,72
097,Monitor,rgb,D,U,94
098,Laptop,rgb,D,C,80
098,Laptop,rgb,D,D,84
098,Laptop,rgb,D,E,88
098,Laptop,rgb,D,F,96
098,Laptop,rgb,D,T,90
098,Laptop,rgb,D,U,81
098,Monitor,rgb,D,C,78
098,Monitor,rgb,D,D,72
098,Monitor,rgb,D,E,76
098,Monitor,rgb,D,S,95
098,Monitor,rgb,D,U,79
099,Laptop,rgb,D,C,90
099,Laptop,rgb,D,D,83
099,Laptop,rgb,D,E,104
099,Laptop,rgb,D,F,83
099,Laptop,rgb,D,T,99
099,Laptop,rgb,D,U,88
099,Monitor,rgb,D,C,85
099,Monitor,rgb,D,D,85
099,Monitor,rgb,D,E,78
099,Monitor,rgb,D,S,91
099,Monitor,rgb,D,U,82
100,Laptop,rgb,D,C,77
100,Laptop,rgb,D,D,105
